run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_name,library_strategy,library_layout,sample_accession,sample_title,bioproject,instrument,run_total_bases,host,isolation_source,geo_loc_name,lat_lon,aliquot,Environment_Broad_Scale,Specific_Environment,Broader Category
SRR10084805,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817820,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361382,,PRJNA564397,Illumina HiSeq 3000,3062595900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,55,,,Host human
SRR10084806,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817819,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361381,,PRJNA564397,Illumina HiSeq 3000,2872442400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,54,,,Host human
SRR10084807,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817818,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361380,,PRJNA564397,Illumina HiSeq 3000,2539827000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,53,,,Host human
SRR10084808,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817817,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361379,,PRJNA564397,Illumina HiSeq 3000,2816604600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,52,,,Host human
SRR10084809,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817816,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361378,,PRJNA564397,Illumina HiSeq 3000,1525231200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,6,,,Host human
SRR10084810,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817815,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361377,,PRJNA564397,Illumina HiSeq 3000,2583438000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,51,,,Host human
SRR10084811,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817814,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361376,,PRJNA564397,Illumina HiSeq 3000,2777169900,Homo sapiens,fecal sample,India,21.14 N 79.08 E,50,,,Host human
SRR10084812,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817813,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361375,,PRJNA564397,Illumina HiSeq 3000,3155512200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,49,,,Host human
SRR10084813,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817812,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361374,,PRJNA564397,Illumina HiSeq 3000,2812681800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,48,,,Host human
SRR10084814,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817811,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361373,,PRJNA564397,Illumina HiSeq 3000,3011447100,Homo sapiens,fecal sample,India,21.14 N 79.08 E,47,,,Host human
SRR10084815,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817810,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361372,,PRJNA564397,Illumina HiSeq 3000,3233803200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,46,,,Host human
SRR10084816,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817809,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361371,,PRJNA564397,Illumina HiSeq 3000,3117161400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,45,,,Host human
SRR10084817,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817808,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361370,,PRJNA564397,Illumina HiSeq 3000,3356134200,Homo sapiens,fecal sample,India,21.14 N 79.08 E,44,,,Host human
SRR10084818,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817807,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361369,,PRJNA564397,Illumina HiSeq 3000,3062393700,Homo sapiens,fecal sample,India,21.14 N 79.08 E,43,,,Host human
SRR10084819,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817806,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361368,,PRJNA564397,Illumina HiSeq 3000,2939382600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,42,,,Host human
SRR10084820,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817805,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361367,,PRJNA564397,Illumina HiSeq 3000,2818848300,Homo sapiens,fecal sample,India,21.14 N 79.08 E,5,,,Host human
SRR10084821,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817804,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361366,,PRJNA564397,Illumina HiSeq 3000,3475095000,Homo sapiens,fecal sample,India,21.14 N 79.08 E,41,,,Host human
SRR10084822,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817803,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361365,,PRJNA564397,Illumina HiSeq 3000,3537881400,Homo sapiens,fecal sample,India,21.14 N 79.08 E,40,,,Host human
SRR10084823,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817802,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361364,,PRJNA564397,Illumina HiSeq 3000,3069238800,Homo sapiens,fecal sample,India,21.14 N 79.08 E,38,,,Host human
SRR10084824,SRP221014,"Metagenomics Reveals Impact of Geography, Antibiotics and Acute Diarrhoeal Disease on the Gut Microbiome of Central Indian Populations",SRX6817801,Human Fecal Microbiome,Human Fecal Microbiome,human gut metagenome,WGS,PAIRED,SRS5361363,,PRJNA564397,Illumina HiSeq 3000,3139485600,Homo sapiens,fecal sample,India,21.14 N 79.08 E,37,,,Host human
